Source_Row,ID,Article,Category,Price,OptPrice,SOptPrice,Quantity,QuantityLED,QuantityVVO,QuantityMOX,QuantityMRT,Type,SubType,Manufacturer,Guid,Components,Title,Text,Vis,T_width,T_height,T_diameter,C_type,C_step,C_num,Sales,Owner,Image,Supplier,PriceSUP,QuantitySUP,CodeSUP,Searched_Article
5241,55959,JTR301.48,,3750,2812,2625,0,9,1,0,9,,Звезда ведОмая,JT,3544e02019eb11e78c9c00155d3b7601,,Звезда ведомая JTR301.48,,,,0,0,,,,0,1,,,0,0,,,JTR301.48
5295,56027,520M-108,,5350,4171,3754,0,11,0,0,11,,Цепи,CZ Chains,085ea6571ba611e78c9c00155d3b7601,,Цепь для мотоцикла CZ Chains 520 M - 108,Цепи серии M разработаны для мотокросса. Это единственная категория мотоцепей. в которой в основном используются цепи без сальников. В гонках долговечность цепи не является важной характеристикой. потому что эти виды спорта предпочитают самые низкие потери мощности двигателя. а также статическую и динамическую прочность цепи. \nЦепь серии M по праву считается цепью для универсального использования. Она может работать в мотокроссе. эндуро. спидвей и даже на квадроциклах.\n\nВсе категории мотоциклов для Мотокросса. Супермото и ATV могут также использовать сальниковые цепи некоторых типов цепей категории ENDURO / ADVENTURE. Сальниковая цепь прослужит дольше. но придется смириться с небольшой потерей мощности (около 0.2 кВт).\n\nПри замене цепи рекомендуем так же заменить ведущую и ведомую звезды во избежание быстрого износа цепи.,,,0,0,бессальниковая,520,108,0,1,,,0,0,,,520M-108
5300,56032,520MX-108,,6320,4935,4443,0,24,0,0,24,,Цепи,CZ Chains,9466f0711df111e78c9c00155d3b7601,,Цепь для мотоцикла CZ Chains 520 MX Gold - 108,Цепи серии MX специально разработаны для мотокросса. Это единственная категория мотоцепей. в которой в основном используются цепи без сальников. В гонках долговечность цепи не является важной характеристикой. потому что эти виды спорта предпочитают самые низкие потери мощности двигателя. а также статическую и динамическую прочность цепи. При производстве цепей с маркировкой MX на пальца наносится CRK слой с содержанием очень крепкого карбида для уменьшение износа  поверхности. Эта технология значительно продлевает срок службы цепи при длительном использовании в пыльных и грязных условиях.\n\nВсе категории мотоциклов для Мотокросса. Супермото и ATV могут также использовать сальниковые цепи некоторых типов цепей категории ENDURO / ADVENTURE. Сальниковая цепь прослужит дольше. но придется смириться с небольшой потерей мощности (около 0.2 кВт).\n\nПри замене цепи рекомендуем так же заменить ведущую и ведомую звезды во избежание быстрого износа цепи.,,,0,0,бессальниковая,520,108,0,1,,,0,0,,,520MX-108
5304,56036,520ORM-108,,5600,4190,3772,0,13,0,0,13,,Цепи,CZ Chains,9466f07d1df111e78c9c00155d3b7601,,Цепь для мотоцикла CZ Chains 520 ORM - 108 (O-Ring),"Цепи серии ORM разработаны для мотоциклов класса Street. Название уплотнительного кольца дает название всей подкатегории цепей - O-Ring. При изготовлении цепи используется технически более простое кольцо с круглым профилем - O-Ring. чтобы ""запечатать"" смазочный материал.\nКачество цепи. доказанное годами и доступная цена делает эту серию настоящим хитом продаж. Идеально подходит для дорожных и эндуро мотоциклов.\nПри замене цепи рекомендуем так же заменить ведущую и ведомую звезды во избежание быстрого износа цепи.",,,0,0,Сальниковая,520,108,0,1,,,0,0,,,520ORM-108
5308,56043,520ORMX-108,,10390,7791,7012,0,9,0,0,9,,Цепи,CZ Chains,9466f08e1df111e78c9c00155d3b7601,,Цепь для мотоцикла CZ Chains 520 ORMX Gold - 108 (Active-Ring),Цепи серии ORMX являются продолжением серии ORM. и нацелены на клиентов. которые предпочитают высокий срок службы цепи. Для удовлетворения этого требования при изготовлении используются уплотнения Active-Ring (X-Ring) и запатентованные втулки KSJ - гарантирующее долговечность при эксплуатации на быстрых. дорожных мотоциклах. \n\nПри замене цепи рекомендуем так же заменить ведущую и ведомую звезды во избежание быстрого износа цепи.,,,0,0,Сальниковая,520,108,0,1,,,0,0,,,520ORMX-108
5733,57082,43021901,,1310,1228,1117,0,7,0,0,7,,Sintered,Trofeo,1b739e022cf711e8a7b800155d3b7601,,Колодки дискового тормоза Trofeo Sintered 219  (LMP204. FDB539),Trofeo появился в 2010 году - это итальянский бренд. входящий в группу компаний Ognibene. \nTrofeo поставляет колодки для завода Malossi и ряда европейский конвееров. \nСерия синтетических тормозных колодок SINTERED предназначена для мотоциклов и макси-скутеров.\nАналоги:\nHonda 06435 KCZ 000\nHonda 06435 KCZ 010\nHonda 43105 KZ1 405\nHonda 43105 KZ1 415\nYamaha 5DH W0046 00\nYamaha 5ET W0046 00\nYamaha 5GR W0046 00\nYamaha 5MV W0046 00\nSuzuki 69100 36820\nSuzuki 69100 36840\nSuzuki 69100 36850\nSuzuki 69100 36860\nSuzuki 69100 37830\nSuzuki 69100 37840\nKawasaki 43082 1173\nKawasaki 43082 1228\nKawasaki 43082 1267\nKawasaki 43082 1292\nEBC FA131\nEBC FA233\nEBC SFA233\nFerodo FDB539SG\nFerodo FDB672AG\nFerodo FDB672EF\nFerodo FDB783\nSBS 604\nBrembo 07HO2608\nCL Brakes 2314\nGalfer FD093\nNISSIN 2P-219GS\nMALOSSI 2B0015/4B0017,,,0,0,,,,0,1,,,0,0,,,43021901
6708,59598,LMP204 ORR,,2410,2257,2052,0,14,10,0,14,,Sintered,AP Racing,c0bcedf82ded11e8a7b800155d3b7601,,Колодки дискового тормоза AP Racing LMP204 ORR  (FDB539 / FA131),AP Racing - английский бренд. лидер в разработке высокопроизводительных тормозных систем.\nOR - Off-Road MX \nSinter- Синтетические\nСпециально разработаны для бездорожья ( грязь. песок. вода и тп). что позволяет не терять в таких условиях контроль над ситуацией. В основном подходит для дисков из нержавеющей стали OE \nАналоги:\nHonda 06435 KCZ 000\nHonda 06435 KCZ 010\nHonda 43105 KZ1 405\nHonda 43105 KZ1 415\nYamaha 5DH W0046 00\nYamaha 5ET W0046 00\nYamaha 5GR W0046 00\nYamaha 5MV W0046 00\nSuzuki 69100 36820\nSuzuki 69100 36840\nSuzuki 69100 36850\nSuzuki 69100 36860\nSuzuki 69100 37830\nSuzuki 69100 37840\nKawasaki 43082 1173\nKawasaki 43082 1228\nKawasaki 43082 1267\nKawasaki 43082 1292\nEBC FA131\nEBC FA233\nEBC SFA233\nFerodo FDB539SG\nFerodo FDB672AG\nFerodo FDB672EF\nFerodo FDB783\nSBS 604\nBrembo 07HO2608\nCL Brakes 2314\nGalfer FD093\nNISSIN 2P-219GS\nMALOSSI 2B0015/4B0017,,,0,0,,,,0,3,,,0,0,,,LMP204 ORR
10712,66627,CH25-1069,,950,823,748,0,1,0,0,1,,Подшипник переднего колеса,CHAKIN,72e709ffcc4611eca7bb00155d018a00,,Комплект подшипников и сальников переднего колеса CHAKIN CH25-1069,,,,0,0,,,,0,2,,,0,0,,,CH25-1069
10713,66628,CH25-1069RL,,1470,1277,1161,0,1,0,0,1,,Подшипник переднего колеса,CHAKIN,72e70a01cc4611eca7bb00155d018a00,,Комплект подшипников и сальников переднего колеса CHAKIN RacingLine CH25-1069RL,,,,0,0,,,,0,2,,,0,0,,,CH25-1069RL
10732,66647,CH25-1206RL,,2680,2144,1876,0,0,0,0,0,,Подшипник заднего колеса,CHAKIN,72e70a27cc4611eca7bb00155d018a00,,Комплект подшипников и сальников заднего колеса CHAKIN RacingLine CH25-1206RL,,,,0,0,,,,0,0,,,0,0,,,CH25-1206RL
12808,70710,CH22-1021,,3580,2864,2506,0,0,0,0,0,,Рулевое управление,CHAKIN,27d430f9b69911ed918000155d018a00,,Комплект подшипников и пыльников рулевой колонки CHAKIN CH22-1021,,,,0,0,,,,0,0,,,0,0,,,CH22-1021
13039,71032,WG-7204-F4,,1590,1219,1108,0,12,0,0,12,,Sintered,WRP,26af0b27be6911ed918000155d018a00,,Тормозные колодки WRP WG-7204-F4 (LMP204 OR / FDB539 / FA131),F4 SINTERED колодки для оффроуд мотоциклов. \nСпециальный состав для работы в экстремально грязевых условиях. \nДля стальных тормозных дисков. \nСтандарт ECE R90\nИталия.,,,0,0,,,,0,1,,,0,0,,,WG-7204-F4
13041,71034,WG-7204-F4R,,2790,2277,1935,0,2,0,0,2,,для спорт-трасс,WRP,26af0b2bbe6911ed918000155d018a00,,Тормозные колодки WRP WG-7204-F4R (LMP204 ORR / FDB539 / FA131),F4R SINTERED колодки для оффроуд мотоциклов. \nГоночный состав для эффективного торможения в экстремально грязевых условиях. \nМаксимально широкий температурный диапазон работы.\nДля стальных тормозных дисков. \nСтандарт ECE R90\nИталия.,,,0,0,,,,0,1,,,0,0,,,WG-7204-F4R
13042,71035,WG-7204-F6,,2190,1761,1496,0,12,0,0,12,,Organic,WRP,26af0b2dbe6911ed918000155d018a00,,Тормозные колодки WRP WG-7204-F6 (LMP204 ST / FDB539 / FA131),F6 ORGANIC тормозные колодки для легких и средних мотоциклов. \nРаботают в среднем температурном режиме. \nПодходят для всех видов тормозных дисков. \nСтандарт ECE R90\nИталия,,,0,0,,,,0,1,,,0,0,,,WG-7204-F6
13244,71237,WG-7294-F4,,2990,2010,1892,0,1,0,0,1,,Sintered,WRP,2cc64d2dbe6911ed918000155d018a00,,Тормозные колодки WRP WG-7294-F4 (LMP294 OR / FDB892 / FA185),F4 SINTERED колодки для оффроуд мотоциклов. \nСпециальный состав для работы в экстремально грязевых условиях. \nДля стальных тормозных дисков. \nСтандарт ECE R90\nИталия.,,,0,0,,,,0,0,,,0,0,,,WG-7294-F4
13246,71239,WG-7294-F4R,,3680,2725,2483,0,0,0,0,0,,для спорт-трасс,WRP,2cc64d31be6911ed918000155d018a00,,Тормозные колодки WRP WG-7294-F4R (LMP294 ORR / FDB892 / FA185),F4R SINTERED колодки для оффроуд мотоциклов. \nГоночный состав для эффективного торможения в экстремально грязевых условиях. \nМаксимально широкий температурный диапазон работы.\nДля стальных тормозных дисков. \nСтандарт ECE R90\nИталия.,,,0,0,,,,0,0,,,0,0,,,WG-7294-F4R
